dew,humidity,pressure,rainfall,rainrate,temperature,timestamp,volt
24.86757,94.41772,1011.92,1.6764,0.0,25.83582,1761930053,3.9325
24.87512,94.40055,1011.89,1.6764,0.0,25.8465,1761930113,3.9325
24.85648,94.45968,1011.9,1.6764,0.0,25.81712,1761930173,3.94
24.87525,94.43107,1011.89,1.6764,0.0,25.84116,1761930233,4.03125
24.82612,94.40818,1011.88,1.6764,0.0,25.79576,1761930293,3.9375
24.8529,94.39483,1011.82,1.6764,0.0,25.82513,1761930353,3.95875
24.80065,94.11635,1011.82,1.6764,0.0,25.82246,1761930413,3.9325
24.70856,93.77875,1011.82,1.6764,0.0,25.79042,1761930473,3.93625
24.73866,94.03624,1011.79,1.6764,0.0,25.7744,1761930533,3.93625
24.73977,94.13161,1011.8,1.6764,0.0,25.75838,1761930593,3.9325
24.74406,94.20027,1011.77,1.6764,0.0,25.75037,1761930653,3.935
24.7501,94.21935,1011.76,1.6764,0.0,25.75304,1761930713,3.9725
24.74751,94.2346,1011.73,1.6764,0.0,25.74769,1761930773,3.9375
24.74018,94.22316,1011.73,1.6764,0.0,25.74235,1761930833,3.935
24.74344,94.21172,1011.75,1.6764,0.0,25.74769,1761930893,3.93
24.77353,94.35096,1011.72,1.6764,0.0,25.75304,1761930953,3.93625
24.7956,94.40055,1011.71,1.6764,0.0,25.76639,1761931013,4.03875
24.79776,94.44251,1011.68,1.6764,0.0,25.76105,1761931073,3.9325
24.80392,94.4921,1011.68,1.6764,0.0,25.75838,1761931133,3.94125
24.8446,94.55695,1011.68,1.6764,0.0,25.78775,1761931193,3.9525
24.82813,94.58366,1011.61,1.6764,0.0,25.76639,1761931253,3.9275
24.86672,94.6218,1011.63,1.6764,0.0,25.79843,1761931313,3.935
24.85774,94.70573,1011.63,1.6764,0.0,25.7744,1761931373,3.945
24.88736,94.73815,1011.58,1.6764,0.0,25.79843,1761931433,3.93625
24.90634,94.86023,1011.56,1.6764,0.0,25.79576,1761931493,3.94375
24.92703,94.90219,1011.55,1.6764,0.0,25.80911,1761931553,3.9375
24.91898,94.87167,1011.55,1.6764,0.0,25.80644,1761931613,3.97625
24.941,94.81636,1011.52,1.6764,0.0,25.83849,1761931673,3.93875
24.92847,94.83543,1011.53,1.6764,0.0,25.82246,1761931733,3.93125
24.94482,94.86786,1011.55,0.0,0.0,25.83315,1761931793,3.9325
24.94467,94.82208,1011.54,1.6764,0.0,25.84116,1761931853,3.945
24.92972,94.81255,1011.52,1.6764,0.0,25.8278,1761931913,3.94
24.94056,94.78394,1011.5,1.6764,0.0,25.84383,1761931973,3.93125
24.9541,94.77058,1011.5,1.6764,0.0,25.85985,1761932033,3.93875
24.95488,94.80492,1011.51,1.6764,0.0,25.85451,1761932093,3.95625
24.94688,94.78966,1011.47,0.0,0.0,25.84917,1761932153,3.93375
24.98315,94.82971,1011.45,0.0,0.0,25.87854,1761932213,3.94375
24.96555,94.82018,1011.43,1.6764,0.0,25.86252,1761932273,3.96
24.98647,94.83353,1011.48,1.6764,0.0,25.88121,1761932333,3.94375
24.97988,94.84116,1011.43,1.6764,0.0,25.8732,1761932393,3.93
24.95224,94.80492,1011.42,1.6764,0.0,25.85184,1761932453,3.97375
24.97108,94.79156,1011.44,1.6764,0.0,25.8732,1761932513,3.9375
24.95298,94.73434,1011.43,1.6764,0.0,25.86519,1761932573,3.94125
24.95687,94.71145,1011.38,1.6764,0.0,25.8732,1761932633,3.93125
24.95072,94.66186,1011.38,1.6764,0.0,25.87587,1761932693,3.94375
24.82424,94.20409,1011.37,1.6764,0.0,25.83047,1761932753,3.93375
24.82986,94.13161,1011.35,1.6764,0.0,25.84917,1761932813,4.015
24.81017,94.16975,1011.31,1.6764,0.0,25.82246,1761932873,3.93125
24.81622,94.26322,1011.28,1.6764,0.0,25.81178,1761932933,3.9475
24.81801,94.45205,1011.28,1.6764,0.0,25.77974,1761932993,3.935
24.83058,94.44823,1011.23,1.6764,0.0,25.79309,1761933053,3.93875
24.83653,94.52644,1011.2,1.6764,0.0,25.78508,1761933113,4.02
24.86068,94.60273,1011.17,0.0,0.0,25.79576,1761933173,3.93125
24.88923,94.61417,1011.14,0.0,0.0,25.82246,1761933233,4.005
24.85966,94.59701,1011.19,1.6764,0.0,25.79576,1761933293,3.9325
24.90761,94.74769,1011.16,1.6764,0.0,25.81712,1761933353,3.94
24.8975,94.79538,1011.15,1.6764,0.0,25.79843,1761933413,3.94
24.93349,94.84879,1011.17,1.6764,0.0,25.82513,1761933473,3.93
24.90636,94.77058,1011.17,1.6764,0.0,25.81178,1761933533,3.9325
24.88432,94.63134,1011.18,1.6764,0.0,25.81445,1761933593,3.93375
24.81193,94.34333,1011.17,1.6764,0.0,25.79309,1761933653,4.01875
24.78897,94.24414,1011.21,1.6764,0.0,25.78775,1761933713,3.93375
24.78489,94.29565,1011.22,1.6764,0.0,25.7744,1761933773,3.94625
24.75735,94.36431,1011.19,1.6764,0.0,25.73434,1761933833,3.9375
24.79873,94.52262,1011.21,1.6764,0.0,25.74769,1761933893,3.9425
24.80421,94.5684,1011.16,1.6764,0.0,25.74502,1761933953,4.02875
24.82016,94.6733,1011.14,1.6764,0.0,25.74235,1761934013,3.9475
24.82635,94.73815,1011.12,1.6764,0.0,25.73701,1761934073,3.94
24.84373,94.77631,1011.08,1.6764,0.0,25.74769,1761934133,3.96625
24.87875,94.94415,1011.05,1.6764,0.0,25.75304,1761934193,3.93125
24.87888,94.98993,1011.01,1.6764,0.0,25.74502,1761934253,3.93125
24.91221,95.04333,1011.03,1.6764,0.0,25.76906,1761934313,3.93625
24.9176,95.07385,1010.98,1.6764,0.0,25.76906,1761934373,4.015
24.93419,95.07767,1010.99,1.6764,0.0,25.78508,1761934433,3.925
24.91423,95.05478,1011.04,1.6764,0.0,25.76906,1761934493,3.9375
24.91414,95.02426,1011.0,1.6764,0.0,25.7744,1761934553,3.94
24.9306,94.9823,1011.01,1.6764,0.0,25.79843,1761934613,3.93375
24.8925,94.88693,1011.03,1.6764,0.0,25.77707,1761934673,3.9625
24.87711,94.84497,1010.99,1.6764,0.0,25.76906,1761934733,3.9475
24.87122,94.76677,1011.01,1.6764,0.0,25.77707,1761934793,3.9375
24.85247,94.81064,1011.03,1.6764,0.0,25.75037,1761934853,3.93625
24.86814,94.83925,1011.08,1.6764,0.0,25.76105,1761934913,4.0025
24.84436,94.86977,1011.11,1.6764,0.0,25.73167,1761934973,3.9525
24.82242,94.85069,1011.12,1.6764,0.0,25.71297,1761935033,3.9325
24.85661,94.96895,1011.15,1.6764,0.0,25.72633,1761935093,3.9475
24.84465,94.85641,1011.17,1.6764,0.0,25.73434,1761935153,3.9325
24.8147,94.82208,1011.17,1.6764,0.0,25.7103,1761935213,4.035
24.80636,94.80492,1011.16,1.6764,0.0,25.70496,1761935273,3.93375
24.8122,94.86786,1011.14,1.6764,0.0,25.69962,1761935333,4.03
24.82072,94.94606,1011.16,1.6764,0.0,25.69428,1761935393,3.93125
24.82709,94.96704,1011.11,1.6764,0.0,25.69695,1761935453,3.93875
24.84642,95.00137,1011.08,1.6764,0.0,25.7103,1761935513,3.9375
24.84035,94.96704,1011.03,1.6764,0.0,25.7103,1761935573,3.94125
24.83875,94.98802,1011.02,1.6764,0.0,25.70496,1761935633,3.9375
24.85299,94.97849,1010.98,1.6764,0.0,25.72099,1761935693,3.93
24.83596,94.94225,1010.96,1.6764,0.0,25.7103,1761935753,3.94
24.84788,94.93462,1010.95,1.6764,0.0,25.72366,1761935813,3.93625
24.8297,94.95178,1010.94,1.6764,0.0,25.70229,1761935873,3.93
24.82627,94.91745,1010.97,1.6764,0.0,25.70496,1761935933,3.945
24.82844,94.97467,1010.96,1.6764,0.0,25.69695,1761935993,3.9425
24.81479,94.9575,1010.97,1.6764,0.0,25.68627,1761936053,3.94
24.8189,94.89075,1010.99,1.6764,0.0,25.70229,1761936113,3.93625
24.80548,94.94987,1010.97,1.6764,0.0,25.67826,1761936173,3.9375
24.83535,95.07385,1011.01,1.6764,0.0,25.68627,1761936233,3.95125
24.82418,95.11581,1010.99,1.6764,0.0,25.66758,1761936293,3.93625
24.83349,95.12344,1010.98,1.6764,0.0,25.67559,1761936353,3.93875
24.82714,95.10246,1010.93,1.6764,0.0,25.67292,1761936413,4.03125
24.80827,95.11581,1010.93,1.6764,0.0,25.65156,1761936473,3.93
24.86373,95.27985,1010.9,1.6764,0.0,25.67826,1761936533,3.9325
24.84665,95.21309,1010.84,1.6764,0.0,25.67292,1761936593,3.95875
24.84561,95.19211,1010.78,1.6764,0.0,25.67559,1761936653,3.93625
24.85297,95.21881,1010.79,1.6764,0.0,25.67826,1761936713,3.95375
24.83974,95.23407,1010.74,1.6764,0.0,25.66224,1761936773,3.94
24.86064,95.23216,1010.74,1.6764,0.0,25.6836,1761936833,3.93
24.84437,95.23026,1010.74,1.6764,0.0,25.66758,1761936893,3.9375
24.88134,95.28939,1010.72,0.0,0.0,25.69428,1761936953,3.94125
24.86276,95.28939,1010.72,1.6764,0.0,25.67559,1761937013,3.93625
24.85899,95.23788,1010.67,1.6764,0.0,25.68093,1761937073,3.9475
24.8012,95.07576,1010.67,1.6764,0.0,25.65156,1761937133,3.9375
24.77327,94.93271,1010.66,1.6764,0.0,25.64889,1761937193,3.93375
24.74893,94.88503,1010.61,1.6764,0.0,25.63287,1761937253,3.9325
24.73359,94.85832,1010.59,1.6764,0.0,25.62218,1761937313,3.93625
24.67771,94.79729,1010.56,1.6764,0.0,25.57679,1761937373,3.93375
24.69931,94.81445,1010.55,1.6764,0.0,25.59548,1761937433,3.9425
24.69255,94.88121,1010.51,0.0,0.0,25.57679,1761937493,3.95125
24.66936,94.88503,1010.5,1.6764,0.0,25.55276,1761937553,3.92625
24.67495,94.87167,1010.49,1.6764,0.0,25.56077,1761937613,3.95625
24.65247,94.89456,1010.46,1.6764,0.0,25.53407,1761937673,3.93625
24.63554,94.88884,1010.42,1.6764,0.0,25.51804,1761937733,3.93
24.65955,94.93462,1010.4,1.6764,0.0,25.53407,1761937793,3.95
24.68644,95.07195,1010.38,1.6764,0.0,25.53674,1761937853,3.9325
24.69152,95.11581,1010.34,1.6764,0.0,25.53407,1761937913,3.93875
24.70692,95.17303,1010.34,1.6764,0.0,25.53941,1761937973,3.9375
24.70262,95.17876,1010.34,1.6764,0.0,25.53407,1761938033,3.98625
24.70531,95.19402,1010.33,1.6764,0.0,25.53407,1761938093,3.93625
24.71129,95.19783,1010.32,1.6764,0.0,25.53941,1761938153,3.94
24.70964,95.20355,1010.32,1.6764,0.0,25.53674,1761938213,3.9675
24.70863,95.19783,1010.34,1.6764,0.0,25.53674,1761938273,3.93
24.69865,95.18639,1010.34,1.6764,0.0,25.52872,1761938333,3.9475
24.69003,95.18257,1010.33,1.6764,0.0,25.52071,1761938393,3.9375
24.67639,95.16541,1010.33,0.0,0.0,25.51003,1761938453,3.93125
24.69218,95.25506,1010.32,1.6764,0.0,25.51003,1761938513,3.94625
24.71176,95.26078,1010.33,1.6764,0.0,25.52872,1761938573,3.9325
24.72455,95.34852,1010.26,1.6764,0.0,25.52605,1761938633,3.935
24.73687,95.37331,1010.26,1.6764,0.0,25.53407,1761938693,3.95625
