dew,humidity,pressure,temperature,timestamp,volt,rainfall,rainrate
24.54409,98.13,1011.9,24.86,1761930000,4.1,,
24.51076,98.11,1011.88,24.83,1761930060,4.1,,
24.54409,98.13,1011.88,24.86,1761930120,4.1,,
24.55577,98.14,1011.87,24.87,1761930180,4.1,,
24.5475,98.15,1011.84,24.86,1761930241,4.09,,
24.5475,98.15,1011.85,24.86,1761930301,4.09,,
24.56404,98.13,1011.8,24.88,1761930361,4.09,,
24.54093,98.17,1011.79,24.85,1761930421,4.09,,
24.53923,98.16,1011.78,24.85,1761930481,4.09,,
24.5475,98.15,1011.82,24.86,1761930541,4.09,,
24.53923,98.16,1011.76,24.85,1761930601,4.09,,
24.53582,98.14,1011.73,24.85,1761930661,4.09,,
24.51246,98.12,1011.72,24.83,1761930721,4.09,,
24.52584,98.14,1011.7,24.84,1761930781,4.09,,
24.50249,98.12,1011.71,24.82,1761930841,4.09,,
24.49908,98.1,1011.68,24.82,1761930901,4.09,,
24.50419,98.13,1011.67,24.82,1761931021,4.1,,
24.51587,98.14,1011.67,24.83,1761931081,4.09,,
24.4908,98.11,1011.65,24.81,1761931141,4.09,,
24.50589,98.14,1011.63,24.82,1761931202,4.09,,
24.46598,98.14,1011.61,24.78,1761931261,4.09,,
24.49251,98.12,1011.6,24.81,1761931321,4.09,,
24.47766,98.15,1011.57,24.79,1761931381,4.09,,
24.48594,98.14,1011.55,24.8,1761931441,4.09,,
24.42754,98.09,1011.53,24.75,1761931501,4.09,,
24.46575,98.08,1011.54,24.79,1761931561,4.09,,
24.45723,98.03,1011.53,24.79,1761931621,4.09,,
24.44068,98.05,1011.49,24.77,1761931682,4.09,,
24.44238,98.06,1011.5,24.77,1761931742,4.09,,
24.45066,98.05,1011.49,24.78,1761931802,4.09,,
24.45066,98.05,1011.5,24.78,1761931862,4.1,,
24.43241,98.06,1011.47,24.76,1761931922,4.1,,
24.46404,98.07,1011.47,24.79,1761931982,4.09,,
24.46234,98.06,1011.46,24.79,1761932042,4.09,,
24.45066,98.05,1011.48,24.78,1761932102,4.09,,
24.43898,98.04,1011.44,24.77,1761932162,4.09,,
24.44409,98.07,1011.44,24.77,1761932222,4.09,,
24.45577,98.08,1011.42,24.78,1761932282,4.09,,
24.45577,98.08,1011.42,24.78,1761932342,4.09,,
24.46915,98.1,1011.4,24.79,1761932402,4.09,,
24.4891,98.1,1011.4,24.81,1761932462,4.09,,
24.50589,98.14,1011.38,24.82,1761932522,4.09,,
24.49591,98.14,1011.39,24.81,1761932582,4.09,,
24.51587,98.14,1011.37,24.83,1761932642,4.09,,
24.51757,98.15,1011.37,24.83,1761932702,4.09,,
24.48253,98.12,1011.35,24.8,1761932762,4.09,,
24.47426,98.13,1011.33,24.79,1761932822,4.1,,
24.48423,98.13,1011.28,24.8,1761932882,4.09,,
24.49591,98.14,1011.24,24.81,1761932942,4.09,,
24.49421,98.13,1011.23,24.81,1761933003,4.09,,
24.49421,98.13,1011.2,24.81,1761933063,4.09,,
24.48594,98.14,1011.16,24.8,1761933123,4.09,,
24.48107,98.17,1011.14,24.79,1761933183,4.09,,
24.48277,98.18,1011.14,24.79,1761933243,4.1,,
24.48447,98.19,1011.13,24.79,1761933303,4.09,,
24.48617,98.2,1011.11,24.79,1761933363,4.09,,
24.49955,98.22,1011.11,24.8,1761933423,4.1,,
24.49955,98.22,1011.11,24.8,1761933483,4.09,,
24.47449,98.19,1011.15,24.78,1761933543,4.1,,
24.48957,98.22,1011.14,24.79,1761933603,4.09,,
24.48957,98.22,1011.16,24.79,1761933663,4.1,,
24.47132,98.23,1011.18,24.77,1761933723,4.09,,
24.48787,98.21,1011.18,24.79,1761933783,4.09,,
24.49638,98.26,1011.15,24.79,1761933844,4.09,,
24.49808,98.27,1011.14,24.79,1761933903,4.09,,
24.50465,98.25,1011.12,24.8,1761933963,4.09,,
24.50805,98.27,1011.1,24.8,1761934023,4.09,,
24.51973,98.28,1011.07,24.81,1761934083,4.09,,
24.51973,98.28,1011.04,24.81,1761934143,4.1,,
24.50976,98.28,1011.01,24.8,1761934203,4.09,,
24.50318,98.3,1011.0,24.79,1761934263,4.09,,
24.52653,98.32,1010.97,24.81,1761934324,4.09,,
24.52313,98.3,1010.96,24.81,1761934384,4.09,,
24.51315,98.3,1010.97,24.8,1761934444,4.09,,
24.4915,98.29,1010.96,24.78,1761934504,4.09,,
24.50318,98.3,1010.96,24.79,1761934564,4.09,,
24.4881,98.27,1010.96,24.78,1761934624,4.09,,
24.47982,98.28,1010.98,24.77,1761934684,4.09,,
24.47472,98.25,1010.97,24.77,1761934744,4.09,,
24.46474,98.25,1011.0,24.76,1761934804,4.09,,
24.42653,98.26,1011.06,24.72,1761934924,4.09,,
24.42653,98.26,1011.07,24.72,1761934984,4.09,,
24.42165,98.29,1011.08,24.71,1761935044,4.09,,
24.43333,98.3,1011.1,24.72,1761935104,4.09,,
24.43163,98.29,1011.15,24.72,1761935164,4.09,,
24.44331,98.3,1011.12,24.73,1761935224,4.09,,
24.45498,98.31,1011.12,24.74,1761935284,4.09,,
24.44989,98.28,1011.12,24.74,1761935344,4.09,,
24.45668,98.32,1011.09,24.74,1761935404,4.09,,
24.4518,98.35,1011.04,24.73,1761935464,4.09,,
24.46348,98.36,1010.99,24.74,1761935585,4.09,,
24.4552,98.37,1010.96,24.73,1761935645,4.09,,
